OTUID,Phylum,INDO18S12S1A,INDO18S12S1B,INDO18S12S1C,INDO18S12S2A,INDO18S12S2B,INDO18S12S2C,INDO18S13S1A,INDO18S13S1B,INDO18S13S1C
OTU_15,Annelida,0.003762235,0.002901187,0.194864067,0.012020758,0.006422348,0.101186092,0.003203352,0.000201702,0.002162389
OTU_13,Arthropoda,0.038702715,0.042485009,0.00857989,0.047289162,0.151181401,0.038860208,0.000696739,1.09E-05,0.040398609
OTU_8,Rhodophyta,0.016972111,0.015054077,0.018004605,0.012900391,0.009556777,0.017192886,0.027526909,0.0800818,0.017909353
OTU_35,Cnidaria,0.001541762,0.031426578,8.34E-05,1.05E-05,4.17E-06,0.053819448,0.000156218,0.003871976,6.48E-05
OTU_17,Porifera,0.030813911,0.004514192,0.003773605,0.001595429,0.00163618,0.002550467,0.029027132,0.022055564,0.031046443
OTU_23,Rhodophyta,0.016037431,0.009170914,0.007682132,0.003029112,0.006543445,0.010633672,0.018951992,0.006495452,0.007129819
OTU_45,Cnidaria,0.001785271,0.006116472,0.004074577,0.025245595,0.003767463,0.020340168,0.004095969,0.021347023,0.003135276
OTU_87,Cnidaria,0.016684035,0.043470706,0.016835274,0.0122873,7.22E-05,0.014537438,0.001024314,3.87E-05,0.000403362
OTU_46,Echinodermata,0.000163207,2.08E-05,0.043797213,4.14E-05,1.50E-05,0.000163057,0.049463038,0.006390495,0.000415902
OTU_88,Chordata,0.003481377,0.000227437,0.008650321,0.014582308,0.00129127,0.01901857,0.002218828,3.84E-05,6.73E-05
OTU_38755,Chordata,0.000510217,0.000161439,0.002162956,0.000100588,2.83E-05,0.001495828,0.000940616,0.000223691,0.054225742
OTU_96,Bryozoa,0.009054521,0.015521473,0.003982503,0.015335729,0.004508968,0.003493728,0.001086956,0.002437216,0.000148659
OTU_37,Chordata,8.80E-05,0.007877438,0.001758842,0.045183858,0.000208587,0.000390835,0.000389089,0.000892199,8.59E-05
OTU_63,Cnidaria,0.000129186,0.000169504,6.57E-05,0.045507866,0.003499295,0.01051125,6.90E-05,0.000171657,4.89E-05
OTU_81,Annelida,0.008476986,0.005989872,0.001816244,0.008360481,0.005387122,0.01541121,0.001714136,0.009522837,0.002820838
OTU_146,Mollusca,0.000583339,0.000687246,0.000394365,0.000576899,0.000292252,0.000758663,0.051724844,0.025896079,0.005110836
OTU_67,Rhodophyta,0.007349782,0.004507174,0.00162135,0.007956257,0.00563786,0.006689826,0.001272607,0.000850379,0.000800214
OTU_125,Bryozoa,0.020353913,0.001181835,0.001417851,0.002850038,0.002685017,0.003691337,0.003672755,0.000936306,0.001668644
OTU_20,Entoprocta,0.002055162,0.000570393,3.77E-05,0,0.00092318,5.85E-05,0.017233766,0.035756891,0.002324389
OTU_24,Annelida,0.006994357,0.004178818,0.005402375,0.007050211,0.004767424,0.009577909,0.004624955,0.00618077,0.006568522
OTU_64,Porifera,4.37E-05,0.001877473,0.001094889,2.11E-05,1.36E-05,0.001759522,0.000666734,0.017123294,0.02739071
OTU_26,Annelida,0.00516981,0.005311387,0.002238068,0.005162708,0.003594034,0.009546734,0.000353018,0.001170615,0.020039515
OTU_206,Cnidaria,0.00032041,0.000744573,0.056843829,3.76E-05,0.000115217,0.000152077,1.42E-05,0.001117014,0
OTU_149,Arthropoda,0.006175567,0.004774502,0.009718984,0.009781317,0.003329835,0.002141956,0.004899764,0.004007304,0.006088916
OTU_184,Bryozoa,0.009890846,0.004459997,0.000178162,0,0.000156066,0.010653874,0.000478141,0.000788481,0.00172246
OTU_198,Arthropoda,0.00312248,0.003931669,0.004047667,0.010221075,0.020140418,0.006537114,0.001620671,0,1.52E-05
OTU_119,Annelida,0.00622859,0.003008859,0.000520969,0.00763447,0.002027738,0.004100235,0.004756728,0.002384251,0.002332348
OTU_152,Porifera,0.003918757,0.001383829,0.002756241,0.002165359,0.001672761,0.003982556,0.010109018,0.009161502,0.010234866
OTU_45484,Chordata,0,0.016679549,0.000331779,6.84E-06,7.38E-05,3.03E-05,8.87E-06,0.011101039,0.011294881
OTU_72,Cnidaria,0.001650672,4.19E-05,0.013529876,0.002655994,4.17E-06,0.023496221,0.000321372,0.000639074,2.23E-05
OTU_159,Echinodermata,0.000146464,0.038933108,0.000170444,3.98E-05,0.001980906,0.001600461,0,0.016673392,0.000333914
OTU_77,Porifera,0.000402312,4.00E-06,0.000156571,0,0,0.000517504,0,3.93E-06,0.031716169
OTU_172,Chordata,0.015121665,0.017384589,0.003205128,2.18E-05,0.013070555,3.34E-05,0.000227915,0.00021947,7.73E-05
OTU_34,Annelida,0.003453696,0.000366166,0.003681365,0.000713532,0.001414296,0.000330676,0.000204438,0.015065088,0.017292134
OTU_220,Arthropoda,0.004846773,0.006935113,0.002666299,0.004111455,0.001570012,0.00578385,0.007308539,0.004281874,1.01E-05
OTU_68,Porifera,0.002676185,0.001172746,0.000258431,0.000481651,0.001962647,0.009816204,0.011260518,0.002497721,0.001449499
OTU_194,Chordata,0.000939978,0.005832822,0.002988724,0.010757232,0.000510891,0.006261594,0.005219979,0.000293383,0.00061224
OTU_21,Rhodophyta,0.001652788,0.002399129,0.008780461,0.002933353,0.003841777,0.003691735,0.002824721,0.001918854,0.001631658
OTU_240,Xenacoelomorpha,0.006548814,0.001881177,0.000633956,0.005319178,0.007310636,0.003266859,0.004748889,0.000617102,0.004599095
OTU_131,Annelida,0.006859864,0.008878881,0.00119644,0.005681213,0.005852876,0.005255044,0.003593738,0.00430728,0.001339423
