OTUID,Phylum,INDO12S1A,INDO12S1B,INDO12S1C,INDO12S2A,INDO12S2B,INDO12S2C,INDO13S1A,INDO13S1B,INDO13S1C
ART01B500M3_0_ID180431,Bryozoa,0.0422368,0.073192894,0.027325454,0.058389332,0.02035296,0.025491073,0.005386088,0.005402799,0.00050952
BAA02BBSM6_0_ID30616,Unidentified,0.019891588,0.03191751,0.024077214,0.013581608,0.006597303,0.021442045,0.04056694,0.026403554,4.99E-05
ART01A100M5_0_ID137646,Annelida,0.001983287,0.001944204,0.10316066,0.004462513,0.003847869,0.068091246,0.000469627,2.75E-05,0.002342701
ART01B500M4_0_ID206547,Bryozoa,0.021255523,0.004139618,0.018270226,0.010464237,0.014361818,0.01144713,0.007831057,0.003317103,0.007721295
ART01A100M5_0_ID195715,Porifera,0.011420478,0.003840932,0.01716484,0.002389652,0.00344763,0.002323334,0.017653196,0.034251748,0.0272311
BAA01A500M3_0_ID27679,Arthropoda,0.021492218,0.004557076,0.00036517,0.073776025,0.069943225,0.010611855,0.000145033,0.008698796,0.008514871
ART01A100M5_0_ID100371,Porifera,0.012142532,0.011938028,0.002580564,0.020661725,0.014965392,0.016951526,0.004343507,0.00257879,0.001548269
ART01B100M7_0_ID144049,Porifera,0.008483924,0.00010922,0.005697181,0.000188762,0.001110889,0.000188835,0.00257815,0.008031022,0.042460988
ART01A500M5_0_ID93973,Unidentified,0.000406979,0.005447512,0.005755774,0.01249404,0.007213541,0.022236473,0.007407647,0.029134848,0.004938728
BAO01B100M4_0_ID85536,Annelida,0.030263706,0.003226824,0.000708182,0.002915442,0.006243937,0.001127669,0.000994739,0.004440154,0.03597767
BAA01A500M3_0_ID38094,Unidentified,0.020563758,0.001188825,0.004844166,0.030154792,0.010071919,0.012420317,0.009285288,0.005906833,0.000481594
BAO01B100M4_0_ID69879,Unidentified,0.007930765,0.008122513,0.006029139,0.003685275,0.00668996,0.01327265,0.017377846,0.000479123,0.003679715
ART01BBSM4_0_ID175967,Porifera,0.00900344,0.000344618,0.010036186,0.009630682,2.00E-05,0.016260073,0.002372677,0.000947007,5.68E-05
ART01B100M7_0_ID52608,Unidentified,0,0,0,0,5.10E-06,0,0.041785011,3.02E-05,2.73E-05
ART01B500M3_0_ID89632,Rhodophyta,0.02633741,0.000845425,0.002496169,0.001032332,0.001148749,0.000403643,0.001431409,0.000456889,0.000434448
ART01A100M5_0_ID101218,Rhodophyta,0.006452614,0.02297436,0.005652311,0.01113066,0.008149125,0.005939789,0.006387189,0.006023077,0.003665036
ART01B100M7_0_ID148194,Bryozoa,0.008849901,0.009027594,0.000819554,0.00745802,0.003952209,0.002610653,0.010519358,0.003763117,0.00463712
BAA02CBSM6_0_ID95449,Bryozoa,0.002454255,0.015783324,0.001393663,0.00134422,0.005363654,0.010994448,0.011096629,0.006305749,0.005429187
ART01B500M4_0_ID227506,Arthropoda,0.000395449,0.001220286,0.000601011,0.001759371,0.000152043,0.001069244,0.026528116,0.009737119,0.000289514
BAO01C500M5_0_ID147072,Unidentified,0,0,0,0,0.000575424,0,0.019748504,0,1.54E-06
BAA02CBSM6_0_ID114198,Porifera,0.004786951,7.94E-05,0.000891166,0.000110111,0.00064463,0.000130183,0.000931906,0.000272777,0.024949428
ART02CBSM6_0_ID152897,Unidentified,0.00668102,0.001704073,0.015158261,0.001083838,0.007799334,0.003599807,0.002846671,0.005606916,0.011507916
CE01100M1_0_ID111337,Unidentified,0.005918187,0.003881461,0.006383147,0.002908627,0.001990488,0.008994843,0.007870118,0.007156052,0.003649787
BAO01B100M6_0_ID160924,Unidentified,0.000773533,0.001223053,0.00527835,0.001490364,0.004505616,0.001631201,0.00522419,0.005349121,0.014842072
ART01B100M7_0_ID53570,Unidentified,2.20E-06,0.051488051,2.63E-06,0,8.97E-06,5.17E-06,3.43E-06,0.00039708,0.012049565
ART01B500M3_0_ID105353,Unidentified,0.001806079,0.003750788,0.003386209,0.002117673,0.003699898,0.00502168,0.005457994,0.007219144,0.016874176
ART01B500M6_0_ID328742,Annelida,0.001826678,0.002726785,4.10E-05,0.003952829,0.004382153,0.008974439,0.002127408,0.000118986,0.010656223
ART01B100M7_0_ID194247,Unidentified,0,0.015904255,7.10E-06,0,0,0,1.71E-06,0.009635393,0.019526157
ART01BBSM3_0_ID108384,Chordata,0.001336132,0.000122371,0.018192261,0.005886545,0.007007232,0.008709054,0.001021817,1.75E-05,2.58E-05
CE01100M1_0_ID95640,Unidentified,7.81E-05,0.001675492,0.002754032,0.0034638,0.007171573,0.000763996,0.010332638,0.001558767,0.009712835
ART01B100M7_0_ID172646,Mollusca,9.83E-05,0.000127718,0.000135298,0.000115746,5.93E-05,0.000173249,0.052723719,0.018610992,0.0041538
