ID_Alkalinity,ID_Coral,Chamber,Species,Date,Time,Metabolism,Temperature,At,delta_At,delta_T,delta_At_per_h,Vol_chamber,Vol_coral,Vol_water,delta_At_per_h_per_V,Final_delta_At_Std,Convert_Calcification,Surface_Area,Calcif_mol_cm2_h,Calcif_mmol_m2_day,Calcif_g_cm2_yr,Calcif_kg_m2_yr,Flow,Species_Flow
Metabo_coral_291,Coral_077,Medium_T1_01,Acropora_hyacinthus,2018-10-01,10:34:00,Day,27.3,2131.1217101412,-295.6494975755,3.0666666667,-96.4074448616,1.138,0.68,0.458,-45.2584749903,-45.312352218,22.656176109,108.5734421081,0.2086714363,50.0811447126,0.1829550281,1.8295502808,High,Acropora_hyacinthus_High
Metabo_coral_292,Coral_078,Medium_T1_02,Acropora_hyacinthus,2018-10-01,10:34:00,Day,27.3,2155.9355730922,-270.8356346245,3.0666666667,-88.3159678123,1.138,0.57,0.568,-51.4175564603,-51.471433688,25.735716844,131.6170242222,0.1955348633,46.9283672007,0.17143739,1.7143739002,High,Acropora_hyacinthus_High
Metabo_coral_293,Coral_079,Medium_T1_03,Acropora_hyacinthus,2018-10-01,10:35:00,Day,27.3,2033.3268852574,-393.4443224593,3.0833333333,-127.6035640408,1.138,0.83,0.308,-40.2844451677,-40.3383223954,20.1691611977,167.7021428395,0.1202677608,28.8642625878,0.1054461116,1.0544611156,High,Acropora_hyacinthus_High
Metabo_coral_294,Coral_080,Medium_T1_04,Acropora_hyacinthus,2018-10-01,10:36:00,Day,27.3,2135.6344485089,-291.1367592078,3.1,-93.9150836154,1.138,0.64,0.498,-47.9389544315,-47.9928316592,23.9964158296,160.5353845984,0.1494774245,35.8745818781,0.1310560126,1.3105601265,High,Acropora_hyacinthus_High
Metabo_coral_295,Coral_081,Big_T1_01,Acropora_hyacinthus,2018-10-01,10:36:00,Day,27.3,2266.3817577641,-164.5963302115,3.1,-53.0955903908,3.539,0.14,3.399,-184.9837095319,-185.0375867596,92.5187933798,366.3764622525,0.2525238461,60.6057230714,0.2214031215,2.2140312147,Low,Acropora_hyacinthus_Low
Metabo_coral_296,Coral_082,Big_T1_02,Acropora_hyacinthus,2018-10-01,10:37:00,Day,27.3,2202.7310647208,-228.2470232548,3.1166666667,-73.2343390122,3.539,0.19,3.349,-251.3933463858,-251.4472236135,125.7236118068,401.8725322472,0.312844501,75.0826802342,0.2742899339,2.7428993385,Low,Acropora_hyacinthus_Low
Metabo_coral_297,Coral_083,Big_T1_03,Acropora_hyacinthus,2018-10-01,10:37:00,Day,27.3,2292.3454343091,-138.6326536666,3.1166666667,-44.4810653476,3.539,0.22,3.319,-151.3234722858,-151.3773495135,75.6886747567,394.368052796,0.1919239508,46.0617481889,0.1682714818,1.6827148185,Low,Acropora_hyacinthus_Low
Metabo_coral_298,Coral_084,Big_T1_04,Acropora_hyacinthus,2018-10-01,10:38:00,Day,27.3,2157.5616967076,-273.416391268,3.1333333333,-87.2605504047,3.539,0.37,3.169,-283.4419013383,-283.495778566,141.747889283,355.679339267,0.3985271947,95.6465267227,0.349413199,3.4941319897,Low,Acropora_hyacinthus_Low
Metabo_coral_341,Coral_089,Medium_T1_01,Napopora_irregularis,2018-10-02,08:54:00,Day,25.4,2347.2503905306,-97.8396851385,2.15,-45.506830297,1.138,0.038,1.1,-51.3089511598,-44.2698445267,22.1349222633,72.9634893796,0.3033698423,72.8087621407,0.2659829203,2.6598292029,High,Napopora_irregularis_High
Metabo_coral_342,Coral_090,Medium_T1_02,Napopora_irregularis,2018-10-02,08:55:00,Day,25.4,2380.1490103621,-64.9410653069,2.1666666667,-29.9727993724,1.138,0.057,1.081,-33.2106110246,-26.1715043915,13.0857521957,158.3362697409,0.0826453233,19.8348775812,0.0724602164,0.7246021643,High,Napopora_irregularis_High
Metabo_coral_343,Coral_091,Medium_T1_03,Napopora_irregularis,2018-10-02,08:55:00,Day,25.4,2296.2905941928,-148.7994814763,2.1666666667,-68.6766837583,1.138,0.051,1.087,-76.5178441264,-69.4787374932,34.7393687466,132.3238825692,0.2625328707,63.0078889563,0.2301786463,2.3017864626,High,Napopora_irregularis_High
Metabo_coral_344,Coral_092,Medium_T1_04,Napopora_irregularis,2018-10-02,08:56:00,Day,25.4,2364.9440135766,-80.1460620925,2.1833333333,-36.7081200424,1.138,0.046,1.092,-41.0873987634,-34.0482921302,17.0241460651,99.3371597065,0.1713774192,41.1305806176,0.1502570793,1.5025707929,High,Napopora_irregularis_High
Metabo_coral_345,Coral_093,Big_T1_01,Napopora_irregularis,2018-10-02,08:57:00,Day,25.4,2343.7335627676,-101.1521653999,2.2,-45.978257,3.539,0.18,3.359,-158.3019893945,-151.2628827613,75.6314413806,470.0051,0.1609162143,38.6198914253,0.1410851002,1.4108510021,Low,Napopora_irregularis_Low
Metabo_coral_346,Coral_094,Big_T1_02,Napopora_irregularis,2018-10-02,08:58:00,Day,25.4,2375.5192974994,-69.3664306681,2.2166666667,-31.2931266172,3.539,0.25,3.289,-105.4961707801,-98.4570641469,49.2285320734,390.2311,0.126152252,30.2765404849,0.1106054054,1.1060540541,Low,Napopora_irregularis_Low
Metabo_coral_347,Coral_095,Big_T1_03,Napopora_irregularis,2018-10-02,08:58:00,Day,25.4,2379.6409942514,-65.2447339161,2.2166666667,-29.4337145486,3.539,0.15,3.389,-102.2446300704,-95.2055234372,47.6027617186,204.0941,0.2332392838,55.97742812,0.2044951646,2.0449516464,Low,Napopora_irregularis_Low
Metabo_coral_348,Coral_096,Big_T1_04,Napopora_irregularis,2018-10-02,08:59:00,Day,25.4,2291.5314346325,-153.3542935351,2.2333333333,-68.6661015829,3.539,0.08,3.459,-243.4539465095,-236.4148398763,118.2074199382,193.5221074611,0.6108212725,146.5971054023,0.5355444187,5.3554441875,Low,Napopora_irregularis_Low
Metabo_coral_391,Coral_101,Medium_T1_01,Napopora_irregularis,2018-10-02,15:10:00,Day,26.7,2251.0591106544,-194.8854488349,2.2833333333,-85.3512914606,1.138,0.053,1.085,-94.9213050156,-95.5643623193,47.7821811596,132.2984,0.3611697584,86.6807420068,0.3166596466,3.1665964664,High,Napopora_irregularis_High
Metabo_coral_392,Coral_102,Medium_T1_02,Napopora_irregularis,2018-10-02,15:11:00,Day,26.7,2325.1324593278,-120.8121001616,2.3,-52.5270000702,1.138,0.027,1.111,-59.816434505,-60.4594918087,30.2297459044,63.1618,0.4786080496,114.8659318931,0.4196249889,4.1962498892,High,Napopora_irregularis_High
Metabo_coral_393,Coral_103,Medium_T1_03,Napopora_irregularis,2018-10-02,15:12:00,Day,26.7,2265.2967650012,-180.6477944881,2.3166666667,-77.9774652467,1.138,0.045,1.093,-87.3601037525,-88.0031610562,44.0015805281,80.6760993442,0.5454103618,130.8984868206,0.4781946673,4.7819466726,High,Napopora_irregularis_High
Metabo_coral_394,Coral_104,Medium_T1_04,Napopora_irregularis,2018-10-02,15:12:00,Day,26.7,2297.3033732991,-148.6411861903,2.3166666667,-64.1616631037,1.138,0.031,1.107,-72.8026350822,-73.4456923859,36.722846193,73.7982,0.4976116788,119.4268029073,0.4362866345,4.3628663452,High,Napopora_irregularis_High
Metabo_coral_395,Coral_105,Big_T1_01,Napopora_irregularis,2018-10-02,15:13:00,Day,26.7,2377.7514730613,-64.6959433802,2.3333333333,-27.7268328772,3.539,0.1,3.439,-97.7363927214,-98.3794500251,49.1897250126,257.2761,0.1911943045,45.886633088,0.1676317563,1.6763175629,Low,Napopora_irregularis_Low
Metabo_coral_396,Coral_106,Big_T1_02,Napopora_irregularis,2018-10-02,15:13:00,Day,26.7,2344.5483380694,-97.8990783721,2.3333333333,-41.9567478738,3.539,0.12,3.419,-147.0363740049,-147.6794313086,73.8397156543,310.4581,0.2378411633,57.0818791877,0.2085299142,2.0852991419,Low,Napopora_irregularis_Low
