"location","family","species","tl","sl","weight"
"Moorea","Acanthuridae","Zebrasoma scopas",16.2,12.5,97.3
"Moorea","Acanthuridae","Zebrasoma scopas",15.2,13,80.8
"Moorea","Acanthuridae","Zebrasoma scopas",15,13,70.9
"Moorea","Chaetodontidae","Chaetodon ornatissimus",10.7,9.6,33.5
"Moorea","Acanthuridae","Zebrasoma scopas",17.5,14.6,117.1
"Moorea","Acanthuridae","Zebrasoma scopas",18.5,16,142.3
"Moorea","Acanthuridae","Zebrasoma scopas",16.5,15,115.9
"Moorea","Chaetodontidae","Chaetodon ornatissimus",12.3,11.2,54.8
"Moorea","Chaetodontidae","Chaetodon ornatissimus",11.5,9.2,47.2
"Moorea","Acanthuridae","Zebrasoma scopas",16.8,13.8,94.6
"Moorea","Chaetodontidae","Chaetodon ornatissimus",13.8,12,83.1
"Moorea","Chaetodontidae","Chaetodon ornatissimus",14.1,12,93
"Moorea","Pomacentridae","Stegastes nigricans",12,9.8,49.1
"Moorea","Chaetodontidae","Chaetodon ornatissimus",12.6,10.2,69.9
"Moorea","Chaetodontidae","Chaetodon ornatissimus",15,12,86.5
"Moorea","Chaetodontidae","Chaetodon ornatissimus",15,12.5,103.9
"Moorea","Acanthuridae","Zebrasoma scopas",17.5,14,121.7
"Moorea","Acanthuridae","Zebrasoma scopas",17.5,14,125.9
"Moorea","Chaetodontidae","Chaetodon ornatissimus",12.5,10.5,58.7
"Moorea","Chaetodontidae","Chaetodon ornatissimus",13.4,11,80.8
"Moorea","Acanthuridae","Zebrasoma scopas",13.7,9.6,60.7
"Moorea","Pomacentridae","Stegastes nigricans",13,10,54
"Moorea","Pomacentridae","Stegastes nigricans",13.5,10.5,52.3
"Moorea","Pomacentridae","Stegastes nigricans",12,9.5,49.5
"Moorea","Pomacentridae","Stegastes nigricans",13.5,10.5,63.3
"Moorea","Pomacentridae","Stegastes nigricans",13.7,10.5,69.3
"Moorea","Pomacentridae","Stegastes nigricans",14.1,10.5,53.9
"Moorea","Pomacentridae","Stegastes nigricans",13.9,10.6,49.2
"Moorea","Pomacentridae","Stegastes nigricans",13.7,10.7,54.8
"Moorea","Pomacentridae","Stegastes nigricans",13.5,10.3,51.4
"Moorea","Acanthuridae","Zebrasoma scopas",17.5,13.5,NA
"Moorea","Acanthuridae","Zebrasoma scopas",17,12.5,NA
"Moorea","Chaetodontidae","Chaetodon ornatissimus",14,12.2,103.5
"Moorea","Acanthuridae","Zebrasoma scopas",16.1,11.9,97.1
"Moorea","Acanthuridae","Zebrasoma scopas",15.1,11.7,86.1
"Moorea","Chaetodontidae","Chaetodon ornatissimus",12.2,9.4,64
"Moorea","Acanthuridae","Zebrasoma scopas",15.4,11.8,79.8
"Moorea","Chaetodontidae","Chaetodon ornatissimus",12.5,10.5,61
"Moorea","Chaetodontidae","Zebrasoma scopas",12.7,10.1,53.8
"Moorea","Acanthuridae","Zebrasoma scopas",11.1,8.2,36.3
"Moorea","Chaetodontidae","Chaetodon ornatissimus",14.1,10.8,82.5
"Moorea","Acanthuridae","Zebrasoma scopas",14.7,11.5,72.8
"Moorea","Acanthuridae","Zebrasoma scopas",15,11.4,70
"Moorea","Acanthuridae","Zebrasoma scopas",6.9,5.4,8.3
"Moorea","Chaetodontidae","Chaetodon ornatissimus",7,5.6,17.7
"Moorea","Acanthuridae","Zebrasoma scopas",15.7,12.2,89.2
"Moorea","Chaetodontidae","Chaetodon ornatissimus",6.4,5.4,9.2
"Moorea","Acanthuridae","Zebrasoma scopas",9,6.8,20.3
"Moorea","Acanthuridae","Zebrasoma scopas",2.9,2.2,0.6
